Tipo;Plan estabilidad lechero?;Fecha ingreso trámite;Fracciones Artº5;Tipo de negocio;Tipo de negocio;;Nº expediente;Estado de ocupación;Moneda;Precio total;Superficie total(ha);Superficie CONEAT 100 (ha);Mejoras que incluye;Forma de entrega;Forma y plazo pago;Multa por incumplimiento;Padrones
Por Art. 35º;NO;29/12/2025;;Compraventa;Compraventa;;2025-70-1-02120;Ocupado;U$S;1100000;120,7808;198,407;No se especifíca.;Los bienes referidos se encuentran ocupados por Gonzado Pedrazzi Nuñez por un plazo de un año a contar del 01/11/25.;El precio pactado se integrará al acuerdo a la reglamentación legal vigente y de la siguiente forma.a) U$S 550000 simultáneamente al otorgamiento de la promesa.b) U$S 550000 dentro del plazo de un año a contar de la fecha de otorgamiento de la promesa reservada, junto con la solemnización de la escritura definitiva de compraventa.;U$S 110000;Canelones-> Rural: 65982-22037-107-260-65983-9558-45579
Por Art. 35º;NO;29/12/2025;;Compraventa;Compraventa;;2026-70-1-00002;Ocupado;U$S;105500000;27887,2732;16610,5691;Todas las mejoras existentes en los referidos padrones están incluidas en el precio pactado para la operación;Los padrones 58455, 59642, 59644, 58460, 58456, 69486, 3436, 3729, 58457, 5762 y 4908 se encuentran arrendados a favor de Agropecuaria "La Escalera S.A.S" por un plazo de 3 años contados a partir del 01/07/24 con posibilidad de prorroga hasta por 2 años más.;El precio acordado se abonará en una sola partida, en forma simultánea con el otorgamiento de la compraventa de los relacionado inmuebles.;U$S 20000000;Rocha-> Rural: 3436-5321-68510-44310-3049-58455-7124-49908-18010-69486-18011-34125-7453-59644-53320-58456-45506-44244-53319-3729-58460-68511-55762-69965-25076-59642-3050-3439-26984-64485-7125-58457-45507-44245 Treinta y Tres-> Rural: 3883-8746-626-3833-7757-559-3645-7755-3835-730-2995-4833-583-10935-725-3409-3834-7860-562-3820-7756-576-9732-3586-6808-2651-632-8747-4832
Por Art. 35º;NO;23/12/2025;;Compraventa;Compraventa;;2025-70-1-02108;Ocupado;U$S;1942946;491,4667;505,7275;Comprende el alambrado legal y manga de animales en el precio.;El inmueble se entregará libre de ocupantes, en un plazo de 45 días contados a partir de la firma del boleto de reserva prorrogables por 35 días más.;Se abonará simultáneamente con el otorgamiento de la compraventa y entrega de la posesión de los inmuebles.;U$S 194295;Florida-> Rural: 6976-15888-15887
Por Art. 35º;NO;22/12/2025;;Compraventa;Compraventa;;2025-70-1-02103;Ocupado;U$S;4300000;999,7011;831,6185;No se especifica;La entrega de la ocupación de los bienes inmuebles se efectuará simultáneamente con el otorgamiento de la escritura de compraventa, libre de gravámenes, interdicciones y ocupantes a cualquier titulo salvo el referido, libre de cosas y en el estado de conservación en que se encuentra.;Se abonará al momento de la firma de la escritura de la compraventa.;La parte que incumpla con cualquiera de las obligaciones pactadas deberá abonar en concepto de multa, la suma de cuatrocientos treinta mil dólares estadounidenses.;Río Negro-> Rural: 4047-6961
Por Art. 35º;NO;22/12/2025;;Compraventa;Compraventa;;2025-70-1-02115;Libre;U$S;9000000;445,7549;271,9105;No se especifica;Libre de ocupantes simultáneamente con el otorgamiento de la escritura de compraventa.;Se abonará en 6 cuotas consecutivas:a) U$S 1500000 junto con el otorgamiento de la escritura de compraventa y entrega de la posesión de los bienes.b) U$S 1500000 venciendo el 16/03/26.c) U$S 1500000 venciendo el 16/07/26.d) U$S 1500000 venciendo el 16/11/26.;U$S 900000;Maldonado-> Rural: 21757-21773-21789-21764-21780-21755-21771-21787-21762-21778-21753-21769-21785-21792-21760-21776-21767-21783-21758-21774-21790-21765-21781-21756-21772-21788-21763-21779-21754-21770-21786-21761-21777-21752-21768-21784-21759-21775-21791-21766-21782
Por Art. 35º;NO;19/12/2025;;Compraventa;Compraventa;;2025-70-1-02083;Libre;U$S;2152470;195,6791;209,3766;No incluye semovientes, útiles, herramientas u otros bienes.;Se entregará junto con la escrituración el 30/04/26, libre de ocupantes.;Se abonará simultáneamente al otorgamiento de la escritura de compraventa y entrega del bien.;U$S 98000;San José-> Rural: 692
Por Art. 35º;NO;19/12/2025;;Compraventa;Compraventa;;2025-70-1-02104;Ocupado;U$S;1600000;690,0617;497,3033;La operación comprende suelos y mejoras;Los bienes serán entregados a la parte compradora, en el estado actual de ocupación, simultáneamente a la firma de la compraventa definitiva dentro del plazo de 60 días. Los bienes, se encuentran ocupados por pastoreo.;Al contado y en una sola partida, mediante cualquier instrumento conforme a los dispuesto en la ley 19210. ;U$S 160000;Artigas-> Rural: 593-4229
Por Art. 35º;NO;18/12/2025;;Compraventa;Compraventa;;2025-70-1-02087;Libre;U$S;2990581;808,2653;521,6866;La operación comprende suelos y mejoras;El bien se entregará libre de ocupantes a cualquier título al momento del otorgamiento de la escritura, la cual se estableció otorgarse en el plazo de 90 días a contar del 5/12/25;Se abonará al momento de otorgarse la escritura de compraventa.;U$S 300071;Lavalleja-> Rural: 12986-13276-12820-12992-2846
Por Art. 5º;NO;17/12/2025;Fracc. 10B. Col. Agraciada. Inm 9P;Compraventa;Compraventa;;2025-70-1-02050;Libre;U$S;120000;12;18,24;'La compraventa comprenderá la totalidad de los suelos y mejoras existentes en el campo; no se incluyen semovientes, útiles, herramientas ni otros bienes.';El campo se entregará al comprador libre de ocupantes, simultáneamente con el otorgamiento de la escritura de compraventa y pago del precio, una vez que se haya finalizado el presente trámite del ofrecimiento.;Al contado, en una sola partida, simultáneamente con el otorgamiento de la escritura de compraventa.;U$S 12000;Soriano-> Rural: 13291
Por Art. 35º;NO;16/12/2025;;Compraventa;Compraventa;;2025-70-1-02051;Libre;U$S;1539156;427,5434;295,2212;La operación comprende suelos y mejoras.;Simultáneamente con el otorgamiento de la compraventa, libre de ocupantes, maquinaria y semovientes.;Al momento de la firma de la escritura de compraventa se abonará la suma de dólares americanos U$S 769.578 y el saldo de U$S 769.578 en 2 cuotas de U$S 384.789 cada una, las mismas se abonarán a los 12 y 18 meses respectivamente de la fecha de la firma de la escritura de compraventa.;U$S 153.916;Florida-> Rural: 20164-17018-1421-18400-8639
